1stFlrSF,GarageArea,GrLivArea,YearBuilt
1218,676,1218,2009
1055,905,2263,2001
955,386,955,1966
1175,575,1982,1989
1079,501,1953,1992
672,264,1218,1972
915,440,1635,1923
948,280,948,1954
960,364,960,1965
1392,576,1392,1968
694,936,1214,1915
1190,577,2090,1984
988,540,988,1969
960,432,960,1965
1152,300,1152,1950
1067,436,1067,1950
1795,534,1795,2002
1668,502,1668,2003
1445,441,2134,1916
1526,364,1526,1957
526,297,988,1973
969,440,969,1975
997,0,1517,1919
1586,435,1586,1979
1423,672,2555,1922
1721,440,1721,1968
1146,438,1146,2003
936,672,936,1980
1068,264,1068,1963
1080,0,1080,2004
1700,544,1700,2003
980,384,980,1967
816,528,1176,1934
1800,765,1800,2002
960,576,960,1970
1166,590,2295,1992
1654,900,1654,2002
1262,572,1262,2006
483,264,987,1971
1484,472,1484,2006
1932,774,1932,2008
864,572,1728,2004
561,462,1229,1980
848,420,848,2004
941,613,1829,2003
1236,542,2093,1986
1370,484,1370,2006
1709,506,1709,1999
815,225,1690,1916
2156,508,2156,1968
1842,894,1842,1981
664,426,1496,2006
912,288,912,1961
495,672,1922,2003
1553,576,2730,1986
1126,484,1126,1977
807,393,1509,2002
780,462,1620,1969
1026,308,1691,1924
697,420,1501,1993
1200,521,1200,1995
912,288,912,1964
1484,606,1484,2004
1646,870,1646,2006
1092,576,2112,1969
1008,0,1522,1926
1362,484,2082,2003
1489,462,1489,1968
2036,513,2036,1965
779,308,935,1930
1001,255,1635,1910
1476,736,2153,2000
1656,528,1656,1960
1588,472,1588,1999
910,282,1558,1950
1728,352,1728,1964
1050,352,1795,1954
1142,528,1142,1976
1104,304,1788,1957
884,434,2035,2001
764,474,1626,2003
1429,572,1429,1960
1142,550,1935,1976
948,463,1690,2000
1383,292,1383,1960
833,326,833,1954
1391,868,1962,2006
1167,495,1167,1920
783,393,1484,2005
1178,205,2210,1880
1370,479,1370,1976
1368,474,1368,2005
1216,402,1216,1998
1600,890,1600,2007
1127,455,2013,1996
1392,576,2462,2005
1771,336,1771,1960
972,312,1577,1939
840,338,1374,1920
1309,484,1309,1974
784,0,784,1924
1092,288,1092,1962
1120,544,1120,1961
630,0,630,1970
1867,303,1867,1955
1788,522,1788,2001
1431,296,1431,1962
1099,352,1099,1995
1216,487,2157,1966
958,440,958,1976
1462,738,2224,2004
698,384,1396,1915
1040,420,1040,1949
991,678,1947,2004
894,552,894,1972
1232,516,1232,1984
1251,461,1251,1964
1140,0,1140,2006
1328,308,1328,1959
1040,260,1040,1962
864,338,864,1972
1040,576,1040,1996
1501,577,1501,1999
884,504,884,1983
977,476,1732,1985
1549,440,2727,1932
2524,542,2524,1981
1464,480,1464,1963
816,264,816,1982
1276,676,2612,1998
970,380,1709,2004
788,388,1490,2004
1152,484,1152,1964
1098,260,1098,1955
1525,541,1525,2000
1222,463,2110,1994
1710,550,1710,2004
760,397,1656,2003
1766,520,2414,1900
1476,858,2713,2008
1302,309,1302,1964
1328,576,1981,1928
1694,636,1694,2004
520,0,754,1935
1097,495,1993,1971
912,216,1426,1918
1328,752,2531,1995
1207,349,2403,1940
756,440,1512,2000
1411,544,1411,1977
1442,719,1442,1990
936,471,1721,1994
1234,484,1234,2007
968,240,1376,1941
1324,550,1324,2006
1504,457,1504,2005
1005,429,2291,1999
1108,280,1108,1930
804,440,1548,1976
1342,457,1342,1967
789,250,789,1948
952,283,952,1956
575,576,1135,1936
1050,338,1050,1956
1010,390,2267,2002
698,528,1128,1920
1092,299,1092,1957
1466,528,1466,1959
1069,440,1069,1977
1241,569,1241,2006
729,0,729,1935
1182,736,2324,2005
974,0,974,1991
1008,275,1008,1954
1121,480,1121,1963
831,493,1660,2002
1064,504,1767,1987
897,570,1336,1920
810,210,1328,1925
1358,484,1358,2004
551,480,1102,2004
855,440,1456,1976
1432,588,1432,1978
918,264,918,1979
993,431,1908,2002
520,480,1223,2005
1228,472,1228,1988
1620,912,1620,2007
1094,512,1855,1976
1494,481,1494,1995
767,367,767,1998
866,0,866,1945
854,660,1382,1941
1058,736,1904,2005
1291,576,2521,1973
768,360,1432,1910
1133,240,1820,1925
1116,440,1116,1962
1664,216,2526,1916
1493,508,1493,1997
1344,484,1344,1958
728,400,1456,2005
1282,792,2696,2007
912,275,912,1958
1279,473,1279,1977
985,328,985,1977
799,380,1571,1993
1536,532,1536,2002
832,528,832,1954
1734,660,1734,2005
1114,576,1114,2004
756,240,1134,1940
981,576,981,1971
2129,541,2872,1992
912,330,1458,1948
1056,576,1056,1980
1701,611,1701,1975
1307,360,2358,1908
1459,527,1459,2002
786,624,1176,1937
1098,486,1978,1968
1340,252,1340,1957
1663,529,1663,1954
1468,898,1468,2008
1188,456,1869,1890
1339,484,1339,1990
1690,841,3279,2003
1337,462,1337,1993
1470,696,2630,1998
1940,606,1940,2009
800,484,1632,1966
964,308,1889,1910
912,336,912,1967
1728,842,2296,2008
1225,0,1225,1959
1222,487,1920,1968
904,0,904,1922
1006,871,2046,2003
728,400,1456,2007
1088,484,1868,1976
866,546,1779,1998
520,480,1200,2005
1580,830,1580,2007
980,484,980,1977
778,614,1576,2006
1687,572,1687,1948
1712,588,1712,1959
2042,1390,2042,2008
1211,322,1211,1968
698,440,1426,1977
848,420,848,2004
546,286,1092,1973
793,410,1118,1939
1431,666,1431,1999
1698,768,1698,2007
1152,0,1152,1955
1204,412,1204,1998
1622,1356,1622,1961
1144,336,1144,1963
1334,630,1334,1977
810,400,1482,1925
1630,451,1630,2000
840,0,840,1930
864,463,864,1970
1190,540,1190,1962
1422,576,1422,1981
1412,576,1412,1988
729,406,1446,1996
735,497,1395,1972
1262,460,1262,1976
1728,576,1728,1965
1148,308,1148,1952
1801,484,1801,1959
1052,240,2192,1939
1253,352,1253,1960
600,0,968,1910
694,0,1294,1900
1360,565,1360,1984
1113,264,1113,1950
1200,884,1200,1965
774,305,1230,1946
1149,216,1616,1926
983,480,1739,1999
2136,528,2136,1951
926,470,1604,1997
858,0,858,1971
929,0,2229,1912
1126,540,1126,1977
1504,437,1504,2005
888,312,1644,1942
848,420,848,2004
944,528,944,1952
958,240,1578,1941
894,440,894,1974
752,264,752,1984
1980,770,1980,2004
784,360,784,1928
855,440,1456,1978
1107,484,2090,1973
1905,788,1905,2006
810,528,1665,2001
1080,492,1752,1988
1133,642,2482,2005
725,484,1479,1972
981,240,1768,1937
1181,588,1181,1972
600,480,1200,2004
1644,418,1644,1953
1128,360,1573,1930
1040,550,1725,1979
1437,528,1437,1976
1440,0,3395,1914
900,180,1502,1923
913,240,913,1966
840,308,1680,1915
725,475,1479,1976
2259,450,2259,1953
1005,490,1983,1999
932,306,932,1950
790,566,1574,1976
1500,648,1500,2006
1506,592,1506,2008
1902,567,1902,1959
1976,908,1976,2006
894,450,894,1967
1040,400,1040,1949
864,0,864,1971
736,0,1452,1920
768,396,768,1972
1012,308,1012,1920
1096,299,1096,1969
1352,288,1352,1958
966,416,1652,1915
1260,506,2291,1910
875,180,875,1931
958,440,958,1976
864,0,864,1914
1327,624,1327,1959
605,0,605,1920
1375,451,1375,1954
1261,433,1261,1958
864,528,864,1971
1728,560,1728,1976
1236,923,1236,1957
1032,288,1252,1950
1128,577,2031,2002
1700,447,1700,1959
948,0,1928,1916
1389,418,1389,1974
861,539,861,1940
912,352,912,1962
936,308,936,1956
1713,856,1713,2004
1361,600,2620,1977
483,288,987,1972
2046,834,2046,2008
848,420,848,2004
970,380,1709,2004
684,400,1560,2005
1142,466,2020,1995
811,434,1552,1975
773,431,1658,1995
676,200,1131,1941
1530,630,1530,2004
1602,529,1602,1977
1095,779,1774,1900
2364,820,2364,2009
813,270,813,1930
1224,528,1224,1979
1258,528,1258,1971
1228,271,1228,1966
741,528,1363,1910
1573,544,1573,2002
1310,400,1310,2005
874,288,874,1968
707,403,1414,2004
757,240,1324,1936
581,288,1111,1920
1024,0,1964,1911
372,0,1092,1930
1281,368,1738,1920
693,0,693,1941
1072,525,1072,2005
916,460,1600,1997
1888,578,1888,1966
856,548,1710,2003
765,440,1365,1970
1072,525,1072,2005
768,396,768,1972
864,288,864,1959
438,246,438,1920
1048,280,1048,1922
1992,716,2868,2005
1584,520,2792,1920
1131,672,1131,1937
1266,453,1266,2005
1091,586,1989,2002
1466,1052,2828,2006
1554,627,1554,2006
1358,484,1358,2009
1440,0,1440,1977
756,615,1553,2005
1007,463,1800,2000
1869,617,1869,2007
1148,672,1148,1959
536,336,1112,1976
2113,839,2113,1995
672,468,1344,1920
912,0,1824,1971
774,680,1968,2009
988,276,988,1950
1320,564,1320,1966
1100,312,1100,1960
1306,533,2260,1996
912,297,912,1958
1680,540,1680,1988
1128,286,1128,1954
1120,680,1588,1959
1029,261,1029,1961
979,352,1203,1950
841,294,841,1950
1328,528,1328,1963
1391,530,1391,2004
672,0,912,1947
804,523,1682,1998
1337,511,1337,1998
773,0,1355,1914
1314,626,1314,2007
938,0,2358,1872
1022,390,2054,2000
1464,754,1464,2007
892,264,892,1966
1114,576,1114,2003
1624,757,1624,1994
1610,480,1610,1977
1072,525,1072,2005
1053,750,1053,1958
933,493,1908,1994
949,392,1221,1924
1200,312,1200,1923
1679,575,1679,1994
483,280,987,1970
1194,312,1194,1959
1959,766,1959,1988
658,0,1184,1910
1324,440,1324,1965
1632,576,1632,1967
950,280,950,1971
976,256,1308,1940
1578,840,1578,2008
1302,539,1734,1977
1012,484,1790,1972
902,480,1710,1921
811,256,1387,1954
750,564,1500,2005
1973,895,1973,2006
864,0,864,1925
720,240,1284,1947
1246,305,1246,1959
1944,708,1944,2003
1022,468,1774,1931
1453,445,1453,1986
998,576,1762,1920
1160,216,1608,1925
992,839,1865,2000
1824,739,1824,1971
1040,400,1040,1950
792,0,1140,1910
1352,466,1352,2006
1422,626,1422,2004
924,280,924,1975
1576,704,2554,1890
